text,nic_code,nic_label,division
my small business is dhaba food stall for domestic use,56101,Restaurants,Hospitality
we provide insurance agent,66220,Activities of insurance agents and brokers,Finance
repairingwe repair electronic items,95210,Repair of consumer electronics,Services
ice cream production unit,10505,Manufacture of ice cream,Manufacturing
our unit is involved in motorcycle mechanic since many years,45403,Maintenance of motorcycles and scooters,Trade
i am doing we do tax filing and GST as a home business,69202,Tax consultancy,Finance
i do cutlery manufacturing on small scale,25931,Manufacture of cutlery,Manufacturing
tradingskill training institute iti,85221,Technical and vocational education,Education
car spare parts making business,29301,Manufacture of motor vehicle parts,Manufacturing
servicemedicine manufacturing allopathic for local market,21002,Manufacture of allopathic pharmaceutical preparations,Manufacturing
i am working in we run a hotel,55101,Hotels and motels providing lodging,Hospitality
we are manufacturers of we raise goats and sheep as a home business,1441,Raising and breeding of sheep and goats,Agriculture
providingwe sell furniture as a home business,47591,Retail sale of household furniture,Trade
business activity: animal doctor clinic,75000,Veterinary activities,Professional
repairingfreshwater aquaculture for domestic use,3221,Fish farming in freshwater,Agriculture
we deal in mobile recharge and phone shop,47414,Retail sale of telecommunication equipment,Trade
we specialize in i make ghee for domestic use,10504,Manufacture of cream butter cheese ghee,Manufacturing
we provide motorcycle mechanic in india,45403,Maintenance of motorcycles and scooters,Trade
i run a matchstick manufacturing in india,20291,Manufacture of matches,Manufacturing
i am doing music and arts academy as a home business,85420,Cultural education,Education
repairingheera ghasai ka kaam on small scale,32112,Working of diamonds and precious stones,Manufacturing
the company is engaged in money lending unit,64920,Other credit granting,Finance
our business is cold chain storage business for export,52101,Warehousing of refrigerated goods,Transport
providingi grow cotton,1161,Growing of cotton,Agriculture
makingaloo cultivation for domestic use,1135,Growing of potatoes and tubers,Agriculture
repairingsecurity services company at home,80100,Private security activities,Services
Growinglegal services,69100,Legal activities,Professional
providingarchitect firm business,71100,Architectural and engineering activities,Professional
wheat crop production,1111,Growing of wheat,Agriculture
tradingglass bangle making at home,23106,Manufacture of glass bangles,Manufacturing
business activity: we run a dhaba for domestic use,56101,Restaurants,Hospitality
providingpest control services,81299,Other building and industrial cleaning,Services
we are manufacturers of we run a beauty salon as msme,96020,Hairdressing and other beauty treatment,Services
wire and cable manufacturing as micro enterprise,27320,Manufacture of wires and cables,Manufacturing
repairingwe run a hotel,55101,Hotels and motels providing lodging,Hospitality
i am a we do pest control business,81299,Other building and industrial cleaning,Services
sellingalphonso mango farming,1221,Growing of mangoes,Agriculture
i sell dawai ki dukan,47721,Retail sale of pharmaceuticals,Trade
i own a i run a rice mill as micro enterprise,10612,Rice milling,Manufacturing
servicewe run a laundry as micro enterprise,96010,Washing and dry cleaning of textiles,Services
my small business is chakki flour mill business in india,10611,Flour milling,Manufacturing
business activity: we do electrical wiring in my village,43211,Installation of electrical wiring,Construction
sellinggranite quarrying for local market,8102,Quarrying of granite,Mining
we do electrical wiring near me,43211,Installation of electrical wiring,Construction
i am working in web design,62012,Web page designing,IT Services
i am a we assemble mobile phones,26305,Manufacture of pagers cellular phones,Manufacturing
makinggold jewellery making in india,32111,Manufacture of jewellery of gold silver,Manufacturing
my work involves veterinary doctor as micro enterprise,75000,Veterinary activities,Professional
churi banane ka kaam in india,23106,Manufacture of glass bangles,Manufacturing
we provide leather bag making in my village,15121,Manufacture of travel goods and bags,Manufacturing
we are manufacturers of security guard agency,80100,Private security activities,Services
we deal in spice grinding and processing,10795,Grinding and processing of spices,Manufacturing
phone repair shop as msme,95120,Repair of communication equipment,Services
manufacturingwe make knives and blades as micro enterprise,25931,Manufacture of cutlery,Manufacturing
i am working in hair oil shampoo manufacturing at home,20236,Manufacture of hair oil and shampoo,Manufacturing
manufacturingi make wooden furniture for local market,31001,Manufacture of furniture of wood,Manufacturing
we specialize in custom tailoring shop in india,14105,Custom tailoring,Manufacturing
the company is engaged in canteen mess on small scale,56292,Operation of canteens,Hospitality
we specialize in i make soap at home business,20231,Manufacture of soap all forms,Manufacturing
the company is engaged in i grow potatoes unit,1135,Growing of potatoes and tubers,Agriculture
i am working in readymade garments manufacturing,14101,Manufacture of textile garments,Manufacturing
insurance agent as a home business,66220,Activities of insurance agents and brokers,Finance
repairingi run a rice mill in my village,10612,Rice milling,Manufacturing
servicecustom tailoring shop on small scale,14105,Custom tailoring,Manufacturing
i am working in mango orchard on small scale,1221,Growing of mangoes,Agriculture
Growingi make gud from sugarcane,10722,Manufacture of gur from sugarcane,Manufacturing
providingmurgi palan at home,1461,Raising and breeding of poultry,Agriculture
sellingwe build mobile apps as msme,62011,Writing computer programs,IT Services
moneylending business as a home business,64920,Other credit granting,Finance
the company is engaged in spinning mill cotton,13111,Preparation and spinning of cotton fiber,Manufacturing
herbal medicine production,21003,Manufacture of ayurvedic pharmaceutical preparations,Manufacturing
i am working in we run a beauty salon in my village,96020,Hairdressing and other beauty treatment,Services
repairinganimal doctor clinic near me,75000,Veterinary activities,Professional
providingmedicine pharmacy,47721,Retail sale of pharmaceuticals,Trade
we have a zardozi embroidery in india,13991,Embroidery work and making of laces,Manufacturing
i keep bees and sell honey near me,1492,Bee-keeping and production of honey,Agriculture
my work involves data entry work business,63114,Providing data entry services,IT Services
we have a i run a rice mill as a home business,10612,Rice milling,Manufacturing
repairingonline selling ecommerce business,47912,Retail sale via e-commerce,Trade
i sell we have a chicken farm for export,1461,Raising and breeding of poultry,Agriculture
the company is engaged in parcel delivery business in india,53200,Courier activities,Transport
makingpaper bag making for domestic use,17024,Manufacture of sacks and bags of paper,Manufacturing
tradingkela ki kheti,1222,Growing of bananas,Agriculture
my work involves bpo services for export,82200,Activities of call centres,IT Services
we provide aerated drinks manufacturing on small scale,11041,Manufacture of aerated drinks,Manufacturing
i am working in dental clinic in my village,86202,Dental practice activities,Healthcare
our unit is involved in two wheeler repair workshop for local market,45403,Maintenance of motorcycles and scooters,Trade
the company is engaged in vegetable fruit shop as a home business,47212,Retail sale of fresh fruit and vegetables,Trade
i run a xerox and printing shop,82191,Photocopying and duplicating services,Services
sellingleather bag making for domestic use,15121,Manufacture of travel goods and bags,Manufacturing
makingsanitary and plumbing work for domestic use,43221,Installation of plumbing,Construction
sellingwe sell electronics,47420,Retail sale of audio and video equipment,Trade
we have a rubber tyre production,22111,Manufacture of rubber tyres for motor vehicles,Manufacturing
my small business is cold drink production as msme,11045,Manufacture of soft drinks,Manufacturing
my small business is jute farming near me,1162,Growing of jute,Agriculture
i am a we make ice cream kulfi as msme,10505,Manufacture of ice cream,Manufacturing
we do interior decoration near me,43303,Interior painting and decorating,Construction
i am doing clothing manufacturing unit business,14101,Manufacture of textile garments,Manufacturing
repairingdry cleaning service for domestic use,96010,Washing and dry cleaning of textiles,Services
the company is engaged in we run a chit fund in my village,64910,Financial leasing,Finance
we do salon business at home,96020,Hairdressing and other beauty treatment,Services
sellingwe sell fresh juice as msme,56303,Fruit juice bars,Hospitality
electronics retail shop business,47420,Retail sale of audio and video equipment,Trade
servicemurgi palan unit,1461,Raising and breeding of poultry,Agriculture
we specialize in banana farming for export,1222,Growing of bananas,Agriculture
repairingcar servicing workshop business,45200,Maintenance and repair of motor vehicles,Trade
mobile recharge and phone shop on small scale,47414,Retail sale of telecommunication equipment,Trade
the company is engaged in chocolate production unit in my village,10732,Manufacture of chocolate,Manufacturing
sugarcane crop production,1140,Growing of sugar cane,Agriculture
repairingrecruitment agency near me,78100,Activities of employment placement agencies,Services
Growingcourier service as msme,53200,Courier activities,Transport
servicewe make glass bangles in india,23106,Manufacture of glass bangles,Manufacturing
we have a sweet shop making mithai since many years,10734,Manufacture of sweetmeats,Manufacturing
our unit is involved in we sell milk from our farm since many years,1412,Production of milk from cows or buffaloes,Agriculture
